FileName,membership,accept_pos,accept_neg_rev,emotion,trust_instr,conf_prog,prior_exp,exp_type_formal,exp_type_self_taught,exp_type_both,exp_type_none,anticipated_perf,self_efficacy,concept_understanding,tool_comfort,collab,material_presentation,preparedness,challenge_support,SpecificLabel,BelongingCompositeScore,CompositeLabel,BelongingFactorScore,FactorLabel,WeightedScore,WeightedDiffLabel
67c27615e71bf89783d80e7f,5.666666666666667,4.0,5.0,4.4,5.5,6.0,1,1,0,0,0,6,4.0,6.0,6.0,5.0,6.0,6.0,6.0,1,4.913333333333334,1,-0.43075438496674445,0,61.322222222222216,1
67c281f51cbbf464aae34ba0,4.333333333333333,3.75,5.0,5.2,5.0,5.0,0,0,0,0,1,5,3.0,5.0,2.0,3.0,5.0,5.0,6.0,1,4.656666666666666,0,0.22559701014096342,1,45.11111111111111,0
67c6543b11c3384f9c86d93f,5.333333333333333,4.5,5.25,4.6,6.166666666666667,7.0,1,1,0,0,0,7,7.0,7.0,4.0,7.0,6.0,6.0,7.0,1,5.17,1,-0.7370085951978516,0,67.14444444444443,1
67c6544e496c87641bc32d1e,6.333333333333333,3.5,4.666666666666667,2.4,5.75,7.0,1,0,0,1,1,7,7.0,7.0,7.0,5.0,4.0,7.0,3.0,1,4.529999999999999,0,-0.26846442959205796,0,75.72777777777777,1
67c6548c5af132787b58d55f,3.3333333333333335,5.333333333333333,3.5,4.4,5.333333333333333,7.0,1,1,0,0,0,6,5.0,7.0,5.0,5.0,3.0,4.0,5.0,0,4.38,0,0.23164965114038055,1,54.877777777777766,0
67c6621d2d2c5367115b87c6,5.0,4.25,5.0,4.4,6.5,7.0,1,1,0,0,0,6,6.0,7.0,5.0,6.0,6.0,6.0,6.0,1,5.029999999999999,1,-0.540713406907088,0,64.16666666666667,1
67c66f62f0dce1020cccb8ba,6.666666666666667,5.25,5.75,5.6,6.833333333333333,7.0,1,1,0,0,0,7,7.0,7.0,7.0,6.0,7.0,7.0,7.0,1,6.02,1,-1.9306314238148046,0,76.30555555555554,1
67c76fb48cb8fc5788662cc0,2.6666666666666665,3.5,5.5,4.5,3.6,5.0,0,0,0,0,1,5,4.0,4.0,2.0,6.0,4.0,2.0,5.0,0,3.953333333333333,0,1.3788826364515079,1,37.62222222222222,0
67c772cbff18ef1bd5d4bfe8,1.3333333333333333,2.5,3.75,4.0,3.6666666666666665,2.0,1,1,0,0,0,1,4.0,4.0,3.0,4.0,1.0,2.0,4.0,0,3.05,0,2.58199168104657,1,24.41111111111111,0
67c77336be53b42f18bca71d,5.666666666666667,3.75,6.0,3.8,6.0,7.0,1,0,0,1,1,6,6.0,7.0,6.0,4.0,6.0,7.0,6.0,1,5.043333333333334,1,-0.539012970333705,0,69.07222222222221,1
67c77493037bc8de9f88f767,2.6666666666666665,4.25,4.75,4.0,4.4,5.0,0,0,0,0,1,5,2.0,5.0,4.0,5.0,5.0,5.0,5.0,0,4.013333333333334,0,1.0398800938279213,1,43.32222222222222,0
67c77d9fff18ef1bd5d4d31a,2.6666666666666665,4.0,4.75,4.5,4.8,3.0,0,0,0,0,1,3,3.0,5.0,2.0,6.0,4.0,4.0,7.0,0,4.143333333333333,0,0.9628286432915404,1,33.02222222222222,0
67c77fa5037bc8de9f890800,2.6666666666666665,4.333333333333333,5.25,4.8,3.6,2.0,1,1,0,0,0,3,1.0,2.0,2.0,5.0,2.0,2.0,3.0,0,4.130000000000001,0,1.055674014327058,1,23.072222222222223,0
67c780778cb8fc5788664976,4.0,4.5,3.75,4.4,5.4,5.0,1,1,0,0,0,5,5.0,6.0,4.0,6.0,5.0,6.0,5.0,0,4.409999999999999,0,0.23686123627870517,1,53.833333333333336,0
67c786dcbe53b42f18bcc366,4.333333333333333,4.5,5.25,3.2,4.5,6.0,1,0,1,0,0,6,5.0,6.0,5.0,5.0,5.0,4.0,6.0,0,4.3566666666666665,0,0.2914889411609933,1,55.0611111111111,0
67ca2115c434fe4ee537e752,5.0,4.75,6.0,4.0,5.6,3.0,0,0,0,0,1,2,3.0,7.0,1.0,7.0,3.0,4.0,6.0,1,5.07,1,-0.5775592759031765,0,33.56666666666666,0
67d09b720d26105ead9f56f4,5.0,4.5,5.25,5.8,5.0,5.0,0,0,0,0,1,3,3.0,5.0,4.0,6.0,3.0,3.0,6.0,0,5.11,1,-0.436486865540601,0,41.06666666666666,0
67d09d7b0b0cf28d84337e01,3.3333333333333335,4.0,5.25,4.8,4.5,5.0,1,0,1,0,0,5,5.0,6.0,4.0,6.0,5.0,5.0,4.0,0,4.376666666666667,0,0.6744757885095887,1,50.477777777777774,0
67d0a2460d26105ead9f6131,3.3333333333333335,5.0,6.0,5.666666666666667,4.833333333333333,3.0,0,0,0,0,1,1,2.0,6.0,2.0,6.0,3.0,4.0,7.0,0,4.966666666666667,1,-0.019001303133483527,0,28.277777777777775,0
67d0a9650b0cf28d84339183,6.333333333333333,4.75,5.25,5.0,5.833333333333333,6.0,1,0,0,1,1,6,6.0,7.0,7.0,7.0,5.0,6.0,6.0,1,5.433333333333333,1,-1.184637187519694,0,68.02777777777777,1
68082509332567ffa52153ab,6.0,4.25,6.0,4.25,4.2,4.0,1,0,1,0,0,7,7.0,7.0,7.0,7.0,6.0,7.0,6.0,1,4.9399999999999995,1,-0.4236067901994361,0,70.5,1
6808335d332567ffa52165f8,3.6666666666666665,4.75,5.0,5.2,6.2,7.0,1,0,0,1,1,7,7.0,7.0,7.0,7.0,6.0,7.0,2.0,1,4.963333333333333,1,-0.22831108660396973,0,71.10555555555555,1
68097c08ee2519584c38974c,5.0,4.75,4.5,5.2,4.0,4.0,1,0,0,1,1,5,7.0,7.0,7.0,5.0,5.0,7.0,5.0,1,4.6899999999999995,0,-0.07455886170060644,0,64.86666666666666,1
680acc8a59c825dbf7c31deb,2.3333333333333335,4.0,3.3333333333333335,4.2,4.333333333333333,3.0,1,0,1,0,0,2,3.0,7.0,5.0,3.0,7.0,3.0,4.0,0,3.6399999999999997,0,1.4622353659101215,1,32.94444444444444,0
681144c8bb134e569280d496,5.333333333333333,4.75,5.5,4.4,5.6,6.0,0,0,0,0,1,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1,5.116666666666667,1,-0.6876345866137357,0,64.74444444444444,1
67c26b6a6aed7a8612189b14,3.0,3.75,4.0,4.8,3.6666666666666665,3.0,0,0,0,0,1,2,3.0,3.0,2.0,3.0,2.0,3.0,4.0,0,3.8433333333333337,0,1.3094634377517138,1,29.449999999999996,0
67c27401f112be75fec84544,5.333333333333333,4.25,5.75,4.4,6.333333333333333,7.0,0,0,0,0,1,7,7.0,7.0,5.0,5.0,7.0,7.0,4.0,1,5.213333333333333,1,-0.7326797319534535,0,70.89444444444445,1
67c28656c6360e2457d02f60,2.6666666666666665,4.0,5.75,4.2,3.6666666666666665,2.0,1,0,0,1,1,2,1.0,3.0,5.0,4.0,4.0,2.0,4.0,0,4.056666666666667,0,1.1701853066563328,1,25.77222222222222,0
67c65ae75af132787b58df9a,5.0,4.5,4.75,5.2,6.333333333333333,7.0,1,1,0,0,0,7,7.0,7.0,5.0,7.0,7.0,6.0,4.0,1,5.156666666666666,1,-0.6565287622502267,0,68.11666666666666,1
67c65b5db393e8e43f8a87bc,3.3333333333333335,3.25,3.75,4.8,5.333333333333333,5.0,1,0,0,1,1,5,5.0,4.0,3.0,5.0,5.0,5.0,4.0,0,4.093333333333333,0,0.9478521020759344,1,48.92777777777778,0
67c660bb89c7d2ddeb14ebf0,4.333333333333333,4.5,5.25,4.8,5.8,6.0,1,1,0,0,0,5,6.0,6.0,4.0,5.0,6.0,6.0,4.0,1,4.9366666666666665,1,-0.2687113360949179,0,57.96111111111111,1
67c777d88cb8fc5788663844,3.0,5.25,6.0,5.6,3.6666666666666665,2.0,0,0,0,0,1,2,5.0,5.0,2.0,5.0,1.0,2.0,4.0,0,4.703333333333334,0,0.3452932197420418,1,29.699999999999996,0
67c77911ff18ef1bd5d4ca8a,5.333333333333333,4.75,6.0,5.0,6.333333333333333,7.0,0,0,0,0,1,7,7.0,7.0,7.0,7.0,7.0,7.0,4.0,0,5.4833333333333325,1,-1.0367460365066996,0,73.99444444444444,1
67c77b7fbe53b42f18bcb28c,3.6666666666666665,4.25,6.0,5.4,5.166666666666667,5.0,0,0,0,0,1,5,6.0,6.0,5.0,7.0,5.0,5.0,4.0,1,4.8966666666666665,1,0.08090306663594127,1,54.605555555555554,0
67c77c008cb8fc57886640fb,4.0,5.0,4.5,4.8,6.166666666666667,6.0,1,1,0,0,0,6,6.0,6.0,3.0,6.0,6.0,4.0,4.0,0,4.8933333333333335,0,-0.3244041796258893,0,53.383333333333326,0
67ca18db8ec09603053673b2,4.333333333333333,5.25,5.0,3.6,7.0,7.0,1,1,0,0,0,7,6.0,7.0,6.0,7.0,5.0,7.0,4.0,1,5.036666666666667,1,-0.7007515259933574,0,68.71111111111111,1
67ca1d318ec0960305367c3c,5.0,4.5,5.0,4.8,5.166666666666667,6.0,1,1,0,0,0,7,6.0,6.0,5.0,6.0,6.0,6.0,4.0,0,4.8933333333333335,0,-0.320353721263176,0,64.56666666666666,1
67d0a48d0b0cf28d843388f3,5.333333333333333,4.75,5.5,4.8,6.166666666666667,6.0,1,1,0,0,0,6,7.0,6.0,4.0,6.0,6.0,6.0,4.0,1,5.3100000000000005,1,-0.8942388779094681,0,63.644444444444446,1
68082c50332567ffa5215d6c,5.0,5.0,5.75,5.6,6.0,5.0,1,0,0,1,1,5,6.0,6.0,6.0,6.0,6.0,6.0,4.0,1,5.470000000000001,1,-0.9505250381564245,0,60.666666666666664,1
681bc78d7f0a181a7e96a598,4.666666666666667,4.5,4.25,4.4,5.166666666666667,6.0,1,0,1,0,0,4,6.0,7.0,7.0,5.0,5.0,7.0,4.0,0,4.596666666666668,0,-0.031941817166740924,0,63.43888888888888,1
