FileName,specific_fold,composite_fold,factor_fold,weighted_fold
67c27615e71bf89783d80e7f,1,1,2,1
67c281f51cbbf464aae34ba0,5,5,1,5
67c6543b11c3384f9c86d93f,4,5,4,5
67c6544e496c87641bc32d1e,1,5,1,4
67c6548c5af132787b58d55f,5,4,5,5
67c6621d2d2c5367115b87c6,3,4,4,1
67c66f62f0dce1020cccb8ba,2,1,3,3
67c76fb48cb8fc5788662cc0,5,2,2,4
67c772cbff18ef1bd5d4bfe8,4,2,4,2
67c77336be53b42f18bca71d,3,3,2,2
67c77493037bc8de9f88f767,2,4,5,2
67c77d9fff18ef1bd5d4d31a,2,4,3,4
67c77fa5037bc8de9f890800,4,2,3,4
67c780778cb8fc5788664976,4,1,2,2
67c786dcbe53b42f18bcc366,2,2,1,1
67ca2115c434fe4ee537e752,1,2,3,2
67d09b720d26105ead9f56f4,1,3,1,1
67d09d7b0b0cf28d84337e01,2,1,1,3
67d0a2460d26105ead9f6131,1,1,5,4
67d0a9650b0cf28d84339183,5,5,2,3
68082509332567ffa52153ab,5,5,1,1
6808335d332567ffa52165f8,4,4,3,5
68097c08ee2519584c38974c,1,3,4,5
680acc8a59c825dbf7c31deb,3,4,3,3
681144c8bb134e569280d496,3,1,1,4
67c26b6a6aed7a8612189b14,4,3,5,5
67c27401f112be75fec84544,5,3,1,1
67c28656c6360e2457d02f60,3,5,5,3
67c65ae75af132787b58df9a,2,5,5,3
67c65b5db393e8e43f8a87bc,5,3,2,5
67c660bb89c7d2ddeb14ebf0,4,2,4,5
67c777d88cb8fc5788663844,3,5,4,3
67c77911ff18ef1bd5d4ca8a,5,4,5,2
67c77b7fbe53b42f18bcb28c,2,2,4,1
67c77c008cb8fc57886640fb,3,3,5,1
67ca18db8ec09603053673b2,3,3,2,4
67ca1d318ec0960305367c3c,1,1,3,2
67d0a48d0b0cf28d843388f3,4,4,3,3
68082c50332567ffa5215d6c,2,2,4,4
681bc78d7f0a181a7e96a598,1,1,2,2
